timestamp,Lavel_indicator
2019-07-20T04:30:00Z,729.8658
2019-07-20T04:30:01Z,729.434
2019-07-20T04:30:02.004013Z,729.12
2019-07-20T04:30:03.004013Z,728.6882
2019-07-20T04:30:04Z,727.7069
2019-07-20T04:30:05Z,727.157349
2019-07-20T04:30:06.004013Z,726.490051
2019-07-20T04:30:07.004013Z,726.097534
2019-07-20T04:30:08.004013Z,725.7835
2019-07-20T04:30:09.0020141Z,725.2732
2019-07-20T04:30:10Z,724.8807
2019-07-20T04:30:11.0020141Z,724.3311
2019-07-20T04:30:12.004013Z,724.174133
2019-07-20T04:30:13.004013Z,723.9386
2019-07-20T04:30:14.0020141Z,723.5853
2019-07-20T04:30:15.004013Z,723.310547
2019-07-20T04:30:16.004013Z,723.1928
2019-07-20T04:30:17.0020141Z,722.7218
2019-07-20T04:30:18.0020141Z,722.3685
2019-07-20T04:30:19.004013Z,721.6227
2019-07-20T04:30:20Z,721.0732
2019-07-20T04:30:21Z,720.759155
2019-07-20T04:30:22.004013Z,720.4059
2019-07-20T04:30:23.004013Z,720.013367
2019-07-20T04:30:24Z,719.189
2019-07-20T04:30:25.004013Z,718.835754
2019-07-20T04:30:26.0020141Z,717.9329
2019-07-20T04:30:27.0020141Z,717.6582
2019-07-20T04:30:28.004013Z,717.2264
2019-07-20T04:30:29.004013Z,716.8731
2019-07-20T04:30:30.0060119Z,716.5591
2019-07-20T04:30:31.004013Z,716.362854
2019-07-20T04:30:32.004013Z,715.381531
2019-07-20T04:30:33.0060119Z,714.910461
2019-07-20T04:30:34.004013Z,714.7927
2019-07-20T04:30:35.004013Z,714.4787
2019-07-20T04:30:36Z,713.968445
2019-07-20T04:30:37.004013Z,713.301147
2019-07-20T04:30:38.004013Z,712.712341
2019-07-20T04:30:39.004013Z,712.123535
2019-07-20T04:30:40.004013Z,711.8095
2019-07-20T04:30:41.004013Z,711.927246
2019-07-20T04:30:42.0020141Z,711.770264
2019-07-20T04:30:43Z,711.181458
2019-07-20T04:30:44.0020141Z,710.1609
2019-07-20T04:30:45.0020141Z,709.297363
2019-07-20T04:30:46.0020141Z,709.179565
2019-07-20T04:30:47.004013Z,708.6693
2019-07-20T04:30:48.004013Z,708.2375
2019-07-20T04:30:49.0020141Z,707.2955
2019-07-20T04:30:50.0020141Z,706.863647
2019-07-20T04:30:51.004013Z,706.6674
2019-07-20T04:30:52.004013Z,706.0786
2019-07-20T04:30:53.004013Z,706.0786
2019-07-20T04:30:54Z,705.136536
2019-07-20T04:30:55Z,704.901
2019-07-20T04:30:56.004013Z,704.1552
2019-07-20T04:30:57.004013Z,703.527161
2019-07-20T04:30:58.0020141Z,702.192566
2019-07-20T04:30:59.004013Z,701.800049
